"","00","01","10","11"
"EV_n",0.770565074218822,0.769708087108588,0.741060423746044,0.72746657228231
"EV_y",0.229434925781178,0.230291912891412,0.258939576253956,0.27253342771769
"SD_n",0.00762617308884065,0.0119375233306168,0.0117079701449297,0.0190751738478322
"SD_y",0.00762617308884065,0.0119375233306168,0.0117079701449297,0.0190751738478322
"post.theta_n",2341.649904415,956.649904415002,1036.649904415,395.649904415002
"post.theta_y",697.223751763747,286.223751763747,362.223751763747,148.223751763747
"opt.theta_n",36.6499044150024,NA,NA,NA
"opt.theta_y",12.223751763747,NA,NA,NA
"max.spread_n",2.11159947702433,NA,NA,NA
"max.spread_y",2.11159947702433,NA,NA,NA
