"","00","01","10","11"
"EV_n",0.76894049667662,0.770339474750622,0.734646165339415,0.750484393909283
"EV_y",0.23105950332338,0.229660525249378,0.265353834660585,0.249515606090717
"SD_n",0.00752716970625399,0.0109710959550663,0.011435023295091,0.0155358530654581
"SD_y",0.00752716970625399,0.0109710959550663,0.011435023295091,0.0155358530654581
"post.theta_n",2410.5013092322,1131.5013092322,1094.5013092322,581.501309232197
"post.theta_y",724.333336166823,337.333336166823,395.333336166823,193.333336166823
"opt.theta_n",158.501309232197,NA,NA,NA
"opt.theta_y",51.3333361668225,NA,NA,NA
"max.spread_n",2.50505140260808,NA,NA,NA
"max.spread_y",2.50505140260808,NA,NA,NA
