"","00","01","10","11"
"EV_n",0.775952459350453,0.732420954194925,0.755235017398626,0.777092071488775
"EV_y",0.224047540649547,0.267579045805075,0.244764982601374,0.222907928511225
"SD_n",0.00720570995946718,0.00976259623090618,0.0158022073836224,0.0188930858097708
"SD_y",0.00720570995946718,0.00976259623090618,0.0158022073836224,0.0188930858097708
"post.theta_n",2597.32998063522,1505.32998063522,558.329980635217,376.329980635217
"post.theta_y",749.949803501859,549.949803501859,180.949803501859,107.949803501859
"opt.theta_n",113.329980635217,NA,NA,NA
"opt.theta_y",35.9498035018586,NA,NA,NA
"max.spread_n",3.58760589909792,NA,NA,NA
"max.spread_y",3.58760589909792,NA,NA,NA
