"","00","01","10","11"
"EV_n",0.776743976088856,0.768568751392285,0.745117304346617,0.754741138721894
"EV_y",0.223256023911144,0.231431248607715,0.254882695653383,0.245258861278106
"SD_n",0.011377198864332,0.00970442636373634,0.0107984343164978,0.00911758164778358
"SD_y",0.011377198864332,0.00970442636373634,0.0107984343164978,0.00911758164778358
"post.theta_n",1039.83392688168,1450.83392688168,1212.83392688168,1679.83392688168
"post.theta_y",298.874783957073,436.874783957073,414.874783957073,545.874783957073
"opt.theta_n",199.833926881678,NA,NA,NA
"opt.theta_y",62.874783957073,NA,NA,NA
"max.spread_n",2.01625100641959,NA,NA,NA
"max.spread_y",2.01625100641958,NA,NA,NA
