"","00","01","10","11"
"EV_n",0.562272123499059,0.593984830614626,0.587148348816281,0.593703296661655
"EV_y",0.437727876500941,0.406015169385374,0.412851651183719,0.406296703338345
"SD_n",0.0110836584679715,0.00805551012759086,0.0224846835817021,0.0182597084684578
"SD_y",0.0110836584679715,0.00805551012759086,0.0224846835817021,0.0182597084684578
"post.theta_n",1125.93732395159,2206.93732395159,280.937323951587,428.937323951587
"post.theta_y",876.540261002828,1508.54026100283,197.540261002828,293.540261002828
"opt.theta_n",129.937323951587,NA,NA,NA
"opt.theta_y",92.5402610028283,NA,NA,NA
"max.spread_n",2.314495712335,NA,NA,NA
"max.spread_y",2.314495712335,NA,NA,NA
