"","0","1"
"EV_0",0.399688158104661,0.411257137491907
"EV_A",0.103131229963578,0.107209563207236
"EV_B",0.184471474636487,0.176530589448379
"EV_C",0.0667898941436616,0.0620890519945074
"EV_AB",0.0716794685490498,0.0688553115302865
"EV_AC",0.0140772341601066,0.00556919323658386
"EV_BC",0.075703694646558,0.065882807836618
"EV_ABC",0.0844588457958983,0.102606345254481
"SD_0",0.00712695103636889,0.0134181367175094
"SD_A",0.00442500971722538,0.00843653648457223
"SD_B",0.00564337444418756,0.0103969602143933
"SD_C",0.00363245107400113,0.00658053158485781
"SD_AB",0.00375319427756819,0.00690478197364505
"SD_AC",0.00171409462911849,0.00202934595130872
"SD_BC",0.00384874223294572,0.00676486903808522
"SD_ABC",0.00404590970178171,0.00827468113908321
"post.theta_0",1887.64349273114,552.643492731138
"post.theta_A",487.067207748322,144.067207748322
"post.theta_B",871.220154090478,237.220154090478
"post.theta_C",315.434687027857,83.4346870278574
"post.theta_AB",338.527123271963,92.5271232719625
"post.theta_AC",66.4838297536438,7.48382975364385
"post.theta_BC",357.532700625723,88.5327006257233
"post.theta_ABC",398.881446541288,137.881446541288
"opt.theta_0",6.64349273113839,NA
"opt.theta_A",2.06720774832211,NA
"opt.theta_B",3.22015409047778,NA
"opt.theta_C",1.43468702785742,NA
"opt.theta_AB",1.52712327196253,NA
"opt.theta_AC",0.48382975364385,NA
"opt.theta_BC",1.53270062572332,NA
"opt.theta_ABC",1.88144654128796,NA
"max.spread_0",0.761447000049198,NA
"max.spread_A",0.42810014399443,NA
"max.spread_B",0.671260460451533,NA
"max.spread_C",0.625401270484298,NA
"max.spread_AB",0.35935729965133,NA
"max.spread_AC",3.20286799440453,NA
"max.spread_BC",1.26182591352195,NA
"max.spread_ABC",1.97023098562907,NA
